,자산종류,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
1,매출액,27837747470.0,30214784531.0,32459785242.0,49273127053.0,61176392435.0,60124915882.0,63296226397.0,55282014507.0,53073494958.0,41255208976.0,40412265357.0
2,매출원가,10608260804.0,21255766804.0,25385260916.0,23573223672.0,17796544520.0,18712207734.0,23442581918.0,15048093391.0,12823850952.0,11547906878.0,13563697255.0
3,매출총이익,17229486666.0,8959017727.0,7074524326.0,25699903381.0,43379847915.0,41412708148.0,39853644479.0,40233921116.0,40249644006.0,29707302098.0,26848568102.0
4,판매비와관리비,14136104720.0,37539746428.0,32096685377.0,28253213396.0,25418863562.0,21266072387.0,19280534149.0,17435793204.0,11471345821.0,9764916230.0,29625224496.0
5,대손상각비(환입),-24618419.0,134425678.0,171259758.0,-234422987.0,173211055.0,,,,,,
6,영업이익(손실),3118000365.0,-28715154379.0,-25193420809.0,-2318887028.0,17787773298.0,20146635761.0,20573110330.0,22798127912.0,28778298185.0,19942385868.0,-2776656394.0
7,기타수익,299653145.0,32486527578.0,1861018441.0,1026195405.0,4047855469.0,2272672530.0,2293246232.0,6010926836.0,2365303936.0,9461534712.0,20820095902.0
8,기타의대손충당금환입,177907210.0,,,,,,,,,,
9,기타비용,225106117.0,107266517.0,771178168.0,15445274129.0,1479563304.0,1076202320.0,2187422198.0,5812984851.0,7985574052.0,26177687103.0,49820183989.0
10,기타의대손상각비,,971439021.0,1237623751.0,,1126172908.0,,,,,,
11,이자수익,955335723.0,1215094716.0,1236849862.0,1252635650.0,1740768258.0,,,,,,
12,금융수익,2210849.0,118438046.0,121953269.0,631129.0,58200355.0,2353138171.0,2382892369.0,1901599289.0,1510276905.0,564574909.0,753437457.0
13,금융비용,446146252.0,1512815304.0,860746609.0,667013479.0,3857108.0,,74661718.0,137110600.0,148617371.0,800497293.0,2698387307.0
14,법인세비용차감전순이익(손실),3881854923.0,2513385119.0,-24843147765.0,-14457634062.0,21025004060.0,23696244142.0,22987165015.0,24760558586.0,24519687603.0,2990311093.0,-33721694331.0
15,법인세비용,-70767359.0,-414341568.0,291741766.0,-1216237977.0,5179580699.0,5818561209.0,13289925905.0,4946790534.0,9102866283.0,829713840.0,-7448368738.0
16,당기순이익(손실),3952622282.0,2927726687.0,-25134889531.0,-13241396085.0,15845423361.0,17877682933.0,9697239110.0,19813768052.0,15416821320.0,2160597253.0,-26273325593.0
17,지배기업의 소유주에 귀속될 당기순이익(손실),3951887391.0,2927489556.0,-25135120445.0,-13241104465.0,15845423361.0,17877682933.0,9697239110.0,19813768052.0,15416821320.0,2160597253.0,-23411472993.0
18,비지배지분에 귀속될 당기순이익(손실),734891.0,237131.0,230914.0,-291620.0,,,,,,,-2861852600.0
19,총포괄손익,3952622282.0,2927726687.0,-25134889531.0,-13241396085.0,15845423361.0,17877682933.0,9697239110.0,19813768052.0,15419458132.0,2172521694.0,-26299771270.0
20,지배기업의 소유주에 귀속될 당기총포괄순이익(손실),3951887391.0,2927489556.0,-25135120445.0,-13241104465.0,15845423361.0,17877682933.0,9697239110.0,,,,
21,비지배지분에 귀속될 당기총포괄순이익(손실),734891.0,237131.0,230914.0,-291620.0,,,,,,,
22,기본주당이익(손실),115.0,85.0,-732.0,-386.0,453.0,505.0,275.0,581.0,452.0,63.0,-708.0
23,희석주당이익(손실),115.0,85.0,-732.0,-386.0,453.0,505.0,275.0,581.0,452.0,63.0,-708.0
