,자산종류,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
1,영업활동현금흐름,2971268706.0,-20773379855.0,-15690587337.0,-386460160.0,21732573701.0,19796018374.0,26741005190.0,22488113688.0,19529534467.0,23133195300.0,-4797591560.0
2,영업으로 창출된 현금,3567040222.0,-20205299047.0,-15469786496.0,1652675954.0,23754956945.0,22425485985.0,26909245249.0,23325881570.0,26899263853.0,24216911992.0,4180102740.0
3,이자수취(영업),1023710810.0,1022264202.0,1329921676.0,1560111753.0,2086180743.0,2739540291.0,1878810066.0,1326911624.0,1397586494.0,711588689.0,505955709.0
4,이자지급(영업),419843111.0,1429637222.0,759870813.0,523953216.0,,,,,686501.0,914902623.0,3765372031.0
5,법인세환급(납부),1199639215.0,160707788.0,790851704.0,3075294651.0,4108563987.0,5369007902.0,2047050125.0,2164679506.0,8766629379.0,880402758.0,5718277978.0
6,투자활동현금흐름,-4895758804.0,-1470684280.0,13729064702.0,-1778718734.0,-3828525688.0,-10507243882.0,-30652691729.0,-31545627970.0,-26089226681.0,24248303249.0,-6939351026.0
7,단기금융상품의 감소,49500000000.0,61500000000.0,58500000000.0,99938946360.0,109501000000.0,113000000000.0,76100000000.0,39814071718.0,24575622586.0,12843321013.0,5836009183.0
8,단기대여금의 감소,10000000000.0,,,,124352055.0,,75647945.0,461901272.0,941676892.0,3705558377.0,20150692937.0
9,임차보증금의 감소,10000000.0,,60000000.0,100000000.0,165000.0,5352000.0,103796000.0,1703950000.0,554212000.0,285000000.0,1410650.0
10,종속기업투자의 처분,,-1500481362.0,,,,,,,,,
11,비품의 처분,15058789.0,47800000.0,43265364.0,91192000.0,44145000.0,28466000.0,39504856.0,43810243.0,20725940.0,31670834.0,81635579.0
12,당기손익_공정가치금융자산의 처분,,,235248000.0,,,,,,,,
13,소프트웨어의 처분,24723745.0,,14812447.0,,,,31158270.0,,,,
14,매각예정비유동자산의 처분,,2000000000.0,497932050.0,,,,,,,,
15,단기금융상품의 증가,63800000000.0,61500000000.0,46500000000.0,69000000000.0,92438946360.0,122500000000.0,104900000000.0,68214071718.0,42075622586.0,23498321013.0,4585000000.0
16,당기손익_공정가치금융자산의 취득,,,-240000000.0,,,,,,,,
17,비품의 취득,247348638.0,508136851.0,608750917.0,391155819.0,1473889204.0,536671984.0,527101911.0,948859698.0,514229026.0,404568600.0,208877182.0
18,시설장치의 취득,,30150000.0,191350000.0,27090000.0,58670000.0,130865200.0,21900000.0,658233293.0,68353000.0,250426400.0,-39727000.0
19,산업재산권의 취득,22634903.0,57230058.0,15853018.0,10572776.0,27364088.0,44246293.0,13036099.0,29923631.0,4911130.0,,4400544.0
20,소프트웨어의 취득,375557797.0,986134684.0,916239224.0,484067234.0,751380974.0,899278405.0,432889887.0,1767359621.0,322086469.0,547799679.0,1388773545.0
21,회원권의 증가,,1662273.0,,,,,,,-2948000.0,-134000000.0,
22,임대보증금의 감소,,434689052.0,150000000.0,299410650.0,,,,,-437400000.0,-360000000.0,
23,기타부채의증가,,,3000000000.0,,,,,,,,
24,재무활동현금흐름,-1514907974.0,-384725037.0,18500000000.0,-1186099620.0,-8834949710.0,,,,-12067317.0,-25365186171.0,-8057543694.0
25,리스부채원금 상환,14907974.0,384725037.0,,,,,,,,,
26,단기차입금의 차입,,20000000000.0,20000000000.0,25000000000.0,,,,,,200000000.0,18820461973.0
27,단기차입금의 상환,1500000000.0,20000000000.0,1500000000.0,,,,,,,20412505000.0,32449112580.0
28,환율변동효과 반영전 현금및현금성자산의 순증가(감소),-3439398072.0,-22628789172.0,16538477365.0,-3351278514.0,9069098303.0,9288774492.0,-3911686539.0,-9057514282.0,-6571759531.0,22016312378.0,-19794486280.0
29,기초현금및현금성자산,14319477229.0,36829828355.0,20169451599.0,23663159247.0,14539717697.0,5169288748.0,9112440141.0,18307065023.0,25071750066.0,3146174501.0,23113584651.0
30,현금및현금성자산에 대한 환율변동효과,-24092292.0,118438046.0,121899391.0,-142429134.0,54343247.0,81654457.0,-31464854.0,-137110600.0,-149590211.0,36186944.0,-33904714.0
31,기말현금및현금성자산,10855986865.0,14319477229.0,36829828355.0,20169451599.0,23663159247.0,14539717697.0,5169288748.0,9112440141.0,18307065023.0,25071750066.0,3146174501.0
