,date,평균기온(℃),최고기온(℃),kospi,volume_kospi2,amount_kospi2,year,month,day
1,2001-01-02,-4.3,-0.2,520.95,23101.0,12233.0,2001.0,1.0,Tuesday
2,2001-01-03,-8.3,-5.2,521.43,32458.0,15834.0,2001.0,1.0,Wednesday
3,2001-01-04,-9.8,-6.7,558.02,44454.0,29848.0,2001.0,1.0,Thursday
4,2001-01-05,-6.8,-2.2,580.85,57829.0,35696.0,2001.0,1.0,Friday
7,2001-01-08,2.0,4.9,586.65,55865.0,29481.0,2001.0,1.0,Monday
8,2001-01-09,-0.4,3.0,589.92,55897.0,28340.0,2001.0,1.0,Tuesday
9,2001-01-10,-5.0,-1.5,560.81,64238.0,32850.0,2001.0,1.0,Wednesday
10,2001-01-11,-8.0,-2.2,561.79,51879.0,27217.0,2001.0,1.0,Thursday
11,2001-01-12,-10.7,-7.6,587.87,71379.0,39801.0,2001.0,1.0,Friday
14,2001-01-15,-15.5,-12.4,599.0,61196.0,34078.0,2001.0,1.0,Monday
15,2001-01-16,-13.4,-10.0,603.42,60628.0,33524.0,2001.0,1.0,Tuesday
16,2001-01-17,-8.4,-4.0,595.83,50166.0,30786.0,2001.0,1.0,Wednesday
17,2001-01-18,-0.9,2.5,604.05,45376.0,30213.0,2001.0,1.0,Thursday
18,2001-01-19,0.3,3.8,619.78,43245.0,30026.0,2001.0,1.0,Friday
21,2001-01-22,-1.4,2.5,627.45,48495.0,25134.0,2001.0,1.0,Monday
25,2001-01-26,1.2,2.8,591.73,44374.0,26032.0,2001.0,1.0,Friday
28,2001-01-29,-2.6,1.8,596.54,46115.0,23975.0,2001.0,1.0,Monday
29,2001-01-30,-0.5,2.6,591.34,49867.0,24182.0,2001.0,1.0,Tuesday
30,2001-01-31,-0.3,1.9,617.91,44213.0,25855.0,2001.0,1.0,Wednesday
31,2001-02-01,-5.8,0.6,612.3,39601.0,22114.0,2001.0,2.0,Thursday
32,2001-02-02,-4.9,-0.9,608.48,34529.0,17948.0,2001.0,2.0,Friday
35,2001-02-05,1.5,5.7,579.16,35407.0,18970.0,2001.0,2.0,Monday
36,2001-02-06,2.6,6.3,586.58,32630.0,16082.0,2001.0,2.0,Tuesday
37,2001-02-07,-2.6,1.7,576.19,32272.0,14699.0,2001.0,2.0,Wednesday
38,2001-02-08,-4.9,-0.8,591.57,28224.0,17266.0,2001.0,2.0,Thursday
39,2001-02-09,-0.9,4.0,595.47,37456.0,20300.0,2001.0,2.0,Friday
42,2001-02-12,-4.2,0.0,599.2,31892.0,18959.0,2001.0,2.0,Monday
43,2001-02-13,-3.9,-0.1,598.78,33673.0,19904.0,2001.0,2.0,Tuesday
44,2001-02-14,-3.6,-0.1,603.83,41323.0,21519.0,2001.0,2.0,Wednesday
45,2001-02-15,-3.4,0.1,603.63,35976.0,20205.0,2001.0,2.0,Thursday
46,2001-02-16,-6.1,-3.6,604.92,31953.0,18530.0,2001.0,2.0,Friday
49,2001-02-19,3.5,7.1,596.67,31668.0,16095.0,2001.0,2.0,Monday
50,2001-02-20,4.1,9.8,608.74,49857.0,27223.0,2001.0,2.0,Tuesday
51,2001-02-21,5.9,9.2,594.53,43915.0,24307.0,2001.0,2.0,Wednesday
52,2001-02-22,6.4,12.2,583.41,43498.0,23007.0,2001.0,2.0,Thursday
53,2001-02-23,3.5,6.2,583.52,40077.0,21152.0,2001.0,2.0,Friday
56,2001-02-26,1.9,6.9,585.32,44899.0,18036.0,2001.0,2.0,Monday
57,2001-02-27,3.0,8.1,577.57,47576.0,21486.0,2001.0,2.0,Tuesday
58,2001-02-28,3.4,8.5,578.1,35126.0,15823.0,2001.0,2.0,Wednesday
60,2001-03-02,4.2,8.4,559.44,32969.0,19030.0,2001.0,3.0,Friday
63,2001-03-05,1.9,5.5,565.38,30988.0,15685.0,2001.0,3.0,Monday
64,2001-03-06,3.4,8.1,568.15,48502.0,22222.0,2001.0,3.0,Tuesday
65,2001-03-07,-1.6,1.7,568.64,36406.0,18387.0,2001.0,3.0,Wednesday
66,2001-03-08,-3.6,-0.9,579.28,34938.0,15100.0,2001.0,3.0,Thursday
67,2001-03-09,-0.1,3.6,565.76,31600.0,14208.0,2001.0,3.0,Friday
70,2001-03-12,2.1,6.4,545.05,36094.0,15568.0,2001.0,3.0,Monday
71,2001-03-13,4.9,11.5,527.97,35814.0,16292.0,2001.0,3.0,Tuesday
72,2001-03-14,8.0,12.5,543.28,41519.0,17845.0,2001.0,3.0,Wednesday
73,2001-03-15,4.0,9.2,541.83,38519.0,16711.0,2001.0,3.0,Thursday
74,2001-03-16,6.0,12.0,538.67,33262.0,14092.0,2001.0,3.0,Friday
77,2001-03-19,8.2,12.9,534.33,25380.0,11880.0,2001.0,3.0,Monday
78,2001-03-20,11.3,15.7,531.59,27953.0,12298.0,2001.0,3.0,Tuesday
79,2001-03-21,12.6,19.4,532.59,36474.0,13579.0,2001.0,3.0,Wednesday
80,2001-03-22,11.3,15.2,527.05,40250.0,15913.0,2001.0,3.0,Thursday
81,2001-03-23,10.6,17.1,537.97,36438.0,19204.0,2001.0,3.0,Friday
84,2001-03-26,3.5,7.9,545.98,43328.0,18453.0,2001.0,3.0,Monday
85,2001-03-27,2.9,7.5,532.9,43327.0,17220.0,2001.0,3.0,Tuesday
86,2001-03-28,3.9,9.5,528.79,40264.0,15089.0,2001.0,3.0,Wednesday
87,2001-03-29,3.3,8.1,523.8,48417.0,15233.0,2001.0,3.0,Thursday
88,2001-03-30,4.5,9.4,523.22,41723.0,15045.0,2001.0,3.0,Friday
91,2001-04-02,7.0,8.8,515.2,23182.0,11053.0,2001.0,4.0,Monday
92,2001-04-03,8.9,15.0,503.26,27755.0,14260.0,2001.0,4.0,Tuesday
93,2001-04-04,10.4,16.6,493.69,31364.0,14573.0,2001.0,4.0,Wednesday
95,2001-04-06,12.1,17.5,506.22,37359.0,17610.0,2001.0,4.0,Friday
98,2001-04-09,20.8,28.2,497.46,28386.0,9445.0,2001.0,4.0,Monday
99,2001-04-10,17.9,23.8,491.21,26193.0,11556.0,2001.0,4.0,Tuesday
100,2001-04-11,9.3,13.4,507.53,35428.0,16788.0,2001.0,4.0,Wednesday
101,2001-04-12,9.1,14.3,514.21,40894.0,17386.0,2001.0,4.0,Thursday
102,2001-04-13,10.7,16.3,516.1,34689.0,12631.0,2001.0,4.0,Friday
105,2001-04-16,15.0,21.0,508.35,32865.0,9177.0,2001.0,4.0,Monday
106,2001-04-17,15.9,24.0,513.97,31953.0,12752.0,2001.0,4.0,Tuesday
107,2001-04-18,16.7,24.1,540.0,49486.0,20796.0,2001.0,4.0,Wednesday
108,2001-04-19,13.2,20.0,563.31,56159.0,35454.0,2001.0,4.0,Thursday
109,2001-04-20,14.5,20.6,556.29,47564.0,22593.0,2001.0,4.0,Friday
112,2001-04-23,12.4,18.2,560.94,42037.0,18266.0,2001.0,4.0,Monday
113,2001-04-24,13.3,20.0,555.64,34670.0,15625.0,2001.0,4.0,Tuesday
114,2001-04-25,14.0,18.9,566.34,37655.0,18278.0,2001.0,4.0,Wednesday
115,2001-04-26,14.1,20.2,561.62,30580.0,15374.0,2001.0,4.0,Thursday
116,2001-04-27,16.3,22.7,556.63,23112.0,12466.0,2001.0,4.0,Friday
119,2001-04-30,20.8,27.2,577.36,37150.0,20492.0,2001.0,4.0,Monday
121,2001-05-02,16.2,20.3,583.7,59462.0,23570.0,2001.0,5.0,Wednesday
122,2001-05-03,16.1,22.0,584.4,39007.0,18124.0,2001.0,5.0,Thursday
123,2001-05-04,15.0,19.1,585.6,39247.0,16758.0,2001.0,5.0,Friday
126,2001-05-07,18.3,22.5,596.5,47172.0,21111.0,2001.0,5.0,Monday
127,2001-05-08,20.4,27.9,590.91,48440.0,21069.0,2001.0,5.0,Tuesday
128,2001-05-09,13.4,18.0,578.84,52773.0,20849.0,2001.0,5.0,Wednesday
129,2001-05-10,15.2,21.1,581.38,55713.0,18137.0,2001.0,5.0,Thursday
130,2001-05-11,15.7,21.8,583.06,54670.0,16383.0,2001.0,5.0,Friday
133,2001-05-14,19.7,27.1,584.08,52696.0,17652.0,2001.0,5.0,Monday
134,2001-05-15,16.1,19.0,581.3,55755.0,19477.0,2001.0,5.0,Tuesday
135,2001-05-16,17.7,23.1,572.4,52925.0,19309.0,2001.0,5.0,Wednesday
136,2001-05-17,20.2,27.7,596.39,56511.0,21571.0,2001.0,5.0,Thursday
137,2001-05-18,17.9,20.1,600.54,59540.0,25425.0,2001.0,5.0,Friday
140,2001-05-21,24.6,31.5,618.96,75010.0,31574.0,2001.0,5.0,Monday
141,2001-05-22,20.3,24.8,617.99,79430.0,32875.0,2001.0,5.0,Tuesday
142,2001-05-23,23.2,29.4,622.6,52629.0,24518.0,2001.0,5.0,Wednesday
143,2001-05-24,22.6,27.7,622.28,56154.0,26185.0,2001.0,5.0,Thursday
144,2001-05-25,21.4,26.9,624.11,63424.0,28655.0,2001.0,5.0,Friday
147,2001-05-28,21.5,29.0,618.47,43484.0,18516.0,2001.0,5.0,Monday
148,2001-05-29,23.2,30.7,632.05,53044.0,24605.0,2001.0,5.0,Tuesday
149,2001-05-30,19.5,21.5,628.42,44966.0,22995.0,2001.0,5.0,Wednesday
150,2001-05-31,19.7,26.4,612.16,38498.0,22946.0,2001.0,5.0,Thursday
151,2001-06-01,18.8,22.5,607.07,35879.0,18933.0,2001.0,6.0,Friday
154,2001-06-04,22.4,30.1,610.91,34132.0,15915.0,2001.0,6.0,Monday
155,2001-06-05,20.9,25.3,597.66,36031.0,18059.0,2001.0,6.0,Tuesday
157,2001-06-07,25.3,32.6,601.14,32804.0,17222.0,2001.0,6.0,Thursday
158,2001-06-08,24.9,31.3,621.78,44248.0,23219.0,2001.0,6.0,Friday
161,2001-06-11,24.0,29.6,608.23,34012.0,17114.0,2001.0,6.0,Monday
162,2001-06-12,22.4,27.1,607.15,31988.0,15793.0,2001.0,6.0,Tuesday
163,2001-06-13,21.3,22.5,614.05,39242.0,18828.0,2001.0,6.0,Wednesday
164,2001-06-14,22.5,27.4,613.75,42052.0,21381.0,2001.0,6.0,Thursday
165,2001-06-15,22.4,28.3,618.96,37583.0,19842.0,2001.0,6.0,Friday
168,2001-06-18,20.2,21.4,608.78,47421.0,20434.0,2001.0,6.0,Monday
169,2001-06-19,21.7,26.8,608.91,43663.0,21067.0,2001.0,6.0,Tuesday
170,2001-06-20,23.3,29.3,595.72,44048.0,20548.0,2001.0,6.0,Wednesday
171,2001-06-21,22.3,24.8,595.53,40420.0,19069.0,2001.0,6.0,Thursday
172,2001-06-22,21.9,25.4,599.08,39524.0,19507.0,2001.0,6.0,Friday
175,2001-06-25,22.6,27.2,598.02,30987.0,15500.0,2001.0,6.0,Monday
176,2001-06-26,22.6,26.6,588.71,31274.0,16181.0,2001.0,6.0,Tuesday
177,2001-06-27,21.6,22.8,584.76,33039.0,16472.0,2001.0,6.0,Wednesday
178,2001-06-28,23.8,26.9,583.27,26878.0,14486.0,2001.0,6.0,Thursday
179,2001-06-29,22.6,24.1,595.13,22517.0,13988.0,2001.0,6.0,Friday
182,2001-07-02,27.2,30.9,596.74,20167.0,11854.0,2001.0,7.0,Monday
183,2001-07-03,25.2,26.5,594.31,20911.0,11609.0,2001.0,7.0,Tuesday
184,2001-07-04,26.0,30.9,597.25,22670.0,11730.0,2001.0,7.0,Wednesday
185,2001-07-05,23.4,25.4,593.61,19556.0,10585.0,2001.0,7.0,Thursday
186,2001-07-06,26.1,31.8,578.54,21596.0,11436.0,2001.0,7.0,Friday
189,2001-07-09,25.1,30.3,560.0,25053.0,14299.0,2001.0,7.0,Monday
190,2001-07-10,21.8,24.8,558.6,22898.0,10798.0,2001.0,7.0,Tuesday
191,2001-07-11,25.0,30.3,553.65,20823.0,11371.0,2001.0,7.0,Wednesday
192,2001-07-12,26.7,31.8,559.95,30270.0,14590.0,2001.0,7.0,Thursday
193,2001-07-13,26.7,31.4,548.49,25900.0,13809.0,2001.0,7.0,Friday
196,2001-07-16,25.5,30.1,548.93,22814.0,9616.0,2001.0,7.0,Monday
198,2001-07-18,26.4,31.4,540.53,27532.0,11814.0,2001.0,7.0,Wednesday
199,2001-07-19,26.4,31.7,545.74,26316.0,11652.0,2001.0,7.0,Thursday
200,2001-07-20,26.5,30.5,537.71,27516.0,11370.0,2001.0,7.0,Friday
203,2001-07-23,25.9,30.9,524.21,26525.0,9956.0,2001.0,7.0,Monday
204,2001-07-24,26.0,29.0,526.62,48559.0,14907.0,2001.0,7.0,Tuesday
205,2001-07-25,28.1,32.3,526.08,37143.0,11732.0,2001.0,7.0,Wednesday
206,2001-07-26,28.5,32.8,529.22,31319.0,10952.0,2001.0,7.0,Thursday
207,2001-07-27,28.1,31.3,541.13,39595.0,13223.0,2001.0,7.0,Friday
210,2001-07-30,25.2,26.8,533.53,27410.0,9396.0,2001.0,7.0,Monday
211,2001-07-31,26.1,30.3,541.55,20240.0,9164.0,2001.0,7.0,Tuesday
212,2001-08-01,26.8,31.0,562.79,44117.0,19158.0,2001.0,8.0,Wednesday
213,2001-08-02,28.7,34.0,567.46,44570.0,19504.0,2001.0,8.0,Thursday
214,2001-08-03,28.8,32.6,568.69,26780.0,12266.0,2001.0,8.0,Friday
217,2001-08-06,28.3,32.6,569.37,37543.0,12563.0,2001.0,8.0,Monday
218,2001-08-07,26.7,31.3,567.5,36659.0,13502.0,2001.0,8.0,Tuesday
219,2001-08-08,26.3,30.2,565.94,36213.0,12027.0,2001.0,8.0,Wednesday
220,2001-08-09,25.5,30.6,549.67,31862.0,12139.0,2001.0,8.0,Thursday
221,2001-08-10,26.6,30.9,555.34,28654.0,9896.0,2001.0,8.0,Friday
224,2001-08-13,21.2,23.6,562.0,29862.0,11593.0,2001.0,8.0,Monday
225,2001-08-14,25.2,29.6,577.15,53943.0,20329.0,2001.0,8.0,Tuesday
227,2001-08-16,28.1,34.2,580.95,52565.0,21196.0,2001.0,8.0,Thursday
228,2001-08-17,30.0,35.3,580.99,43737.0,18041.0,2001.0,8.0,Friday
231,2001-08-20,27.8,31.8,567.09,38182.0,13971.0,2001.0,8.0,Monday
232,2001-08-21,27.4,31.3,568.68,35639.0,14327.0,2001.0,8.0,Tuesday
233,2001-08-22,26.8,31.2,574.87,52582.0,19616.0,2001.0,8.0,Wednesday
234,2001-08-23,26.6,30.4,570.07,48227.0,16556.0,2001.0,8.0,Thursday
235,2001-08-24,26.5,31.8,569.31,41529.0,14340.0,2001.0,8.0,Friday
238,2001-08-27,25.9,31.2,578.74,47861.0,18177.0,2001.0,8.0,Monday
239,2001-08-28,25.2,30.3,576.51,44522.0,13736.0,2001.0,8.0,Tuesday
240,2001-08-29,23.6,27.8,565.63,46900.0,14945.0,2001.0,8.0,Wednesday
241,2001-08-30,24.4,29.3,564.36,71180.0,15009.0,2001.0,8.0,Thursday
242,2001-08-31,25.0,30.0,545.11,72038.0,17892.0,2001.0,8.0,Friday
245,2001-09-03,26.9,31.7,541.83,41521.0,10965.0,2001.0,9.0,Monday
246,2001-09-04,25.7,29.4,558.79,49996.0,13421.0,2001.0,9.0,Tuesday
247,2001-09-05,25.3,28.6,551.91,78872.0,17173.0,2001.0,9.0,Wednesday
248,2001-09-06,22.7,28.2,552.59,58815.0,16176.0,2001.0,9.0,Thursday
249,2001-09-07,24.4,29.6,555.08,49128.0,15661.0,2001.0,9.0,Friday
252,2001-09-10,24.4,28.9,550.73,59582.0,15793.0,2001.0,9.0,Monday
253,2001-09-11,23.2,27.9,540.57,61239.0,16406.0,2001.0,9.0,Tuesday
